Country,Continent,2022 Population
Afghanistan,Asia,41128771
Armenia,Asia,2780469
Azerbaijan,Asia,10358074
Bahrain,Asia,1472233
Bangladesh,Asia,171186372
Bhutan,Asia,782455
Brunei,Asia,449002
Cambodia,Asia,16767842
China,Asia,1425887337
Georgia,Asia,3744385
Hong Kong,Asia,7488865
India,Asia,1417173173
Indonesia,Asia,275501339
Iran,Asia,88550570
Iraq,Asia,44496122
Israel,Asia,9038309
Japan,Asia,123951692
Jordan,Asia,11285869
Kazakhstan,Asia,19397998
Kuwait,Asia,4268873
Kyrgyzstan,Asia,6630623
Laos,Asia,7529475
Lebanon,Asia,5489739
Macau,Asia,695168
Malaysia,Asia,33938221
Maldives,Asia,523787
Mongolia,Asia,3398366
Myanmar,Asia,54179306
Nepal,Asia,30547580
North Korea,Asia,26069416
Oman,Asia,4576298
Pakistan,Asia,235824862
Palestine,Asia,5250072
Philippines,Asia,115559009
Qatar,Asia,2695122
Saudi Arabia,Asia,36408820
Singapore,Asia,5975689
South Korea,Asia,51815810
Sri Lanka,Asia,21832143
Syria,Asia,22125249
Taiwan,Asia,23893394
Tajikistan,Asia,9952787
Thailand,Asia,71697030
Timor-Leste,Asia,1341296
Turkey,Asia,85341241
Turkmenistan,Asia,6430770
United Arab Emirates,Asia,9441129
Uzbekistan,Asia,34627652
Vietnam,Asia,98186856
Yemen,Asia,33696614
